plm_oid,plm_leftobj,plm_rightobj,plm_createtime,plm_order,plm_jianhao,plm_number
1,786,1,"2018-09-15 21:36:01",5,16,7
2,787,2,"2018-09-15 21:36:01",5,36,47
3,796,3,"2018-09-15 21:36:01",13,0,28
4,789,4,"2018-09-15 21:36:01",7,21,18
5,802,5,"2018-09-15 21:36:01",47,43,25
6,803,5,"2018-09-15 21:36:01",7,48,7
7,813,6,"2018-09-15 21:36:01",3,3,2
8,790,7,"2018-09-15 21:36:01",8,1,31
9,817,8,"2018-09-15 21:36:01",9,0,22
10,825,8,"2018-09-15 21:36:01",37,16,32
11,791,9,"2018-09-15 21:36:01",29,27,26
12,788,10,"2018-09-15 21:36:01",20,1,10
13,792,11,"2018-09-15 21:36:01",34,1,20
14,793,12,"2018-09-15 21:36:01",29,33,33
15,794,13,"2018-09-15 21:36:01",10,41,10
16,797,14,"2018-09-15 21:36:01",48,0,1
17,798,15,"2018-09-15 21:36:01",16,31,40
18,795,16,"2018-09-15 21:36:01",3,3,18
19,799,17,"2018-09-15 21:36:01",2,15,24
20,801,18,"2018-09-15 21:36:01",41,12,36
21,805,19,"2018-09-15 21:36:01",34,24,5
22,802,20,"2018-09-15 21:36:01",28,47,22
23,796,20,"2018-09-15 21:36:01",28,11,41
24,806,21,"2018-09-15 21:36:01",6,14,41
25,807,22,"2018-09-15 21:36:01",36,37,14
26,808,23,"2018-09-15 21:36:01",7,1,24
27,809,24,"2018-09-15 21:36:01",17,14,50
28,803,25,"2018-09-15 21:36:01",47,5,19
29,813,25,"2018-09-15 21:36:01",32,14,8
30,810,26,"2018-09-15 21:36:01",21,14,0
31,811,27,"2018-09-15 21:36:01",32,49,25
32,814,27,"2018-09-15 21:36:01",43,12,7
33,815,28,"2018-09-15 21:36:01",50,45,37
34,818,29,"2018-09-15 21:36:01",8,4,9
35,819,30,"2018-09-15 21:36:01",34,4,43
36,817,31,"2018-09-15 21:36:01",47,21,6
37,820,32,"2018-09-15 21:36:01",36,16,47
38,821,33,"2018-09-15 21:36:01",47,10,6
39,824,34,"2018-09-15 21:36:01",28,12,48
40,822,34,"2018-09-15 21:36:01",16,32,21
41,827,35,"2018-09-15 21:36:01",44,12,9
42,829,36,"2018-09-15 21:36:01",48,44,23
43,825,37,"2018-09-15 21:36:01",44,37,35
44,788,37,"2018-09-15 21:36:01",40,2,4
45,795,38,"2018-09-15 21:36:01",13,30,6
46,796,38,"2018-09-15 21:36:01",38,45,36
47,830,39,"2018-09-15 21:36:01",10,3,14
48,786,40,"2018-09-15 21:36:01",29,15,17
49,802,41,"2018-09-15 21:36:01",32,36,47
50,803,41,"2018-09-15 21:36:01",35,9,33
51,787,42,"2018-09-15 21:36:01",43,41,4
52,789,43,"2018-09-15 21:36:01",36,18,17
53,790,44,"2018-09-15 21:36:01",12,43,16
54,817,45,"2018-09-15 21:36:01",39,4,29
55,813,45,"2018-09-15 21:36:01",12,16,34
56,825,46,"2018-09-15 21:36:01",35,2,30
57,791,47,"2018-09-15 21:36:01",1,37,28
58,792,48,"2018-09-15 21:36:01",21,14,44
59,793,49,"2018-09-15 21:36:01",23,9,33
60,794,50,"2018-09-15 21:36:01",7,42,41
61,797,51,"2018-09-15 21:36:01",14,21,47
62,798,52,"2018-09-15 21:36:01",18,40,13
63,801,53,"2018-09-15 21:36:01",3,25,17
64,805,53,"2018-09-15 21:36:01",50,42,18
65,799,53,"2018-09-15 21:36:01",21,15,2
66,795,54,"2018-09-15 21:36:01",24,30,22
67,788,54,"2018-09-15 21:36:01",22,36,43
68,796,55,"2018-09-15 21:36:01",33,34,40
69,802,56,"2018-09-15 21:36:01",29,46,10
70,806,57,"2018-09-15 21:36:01",29,28,1
71,807,57,"2018-09-15 21:36:01",16,49,22
72,808,58,"2018-09-15 21:36:01",9,26,22
73,809,59,"2018-09-15 21:36:01",13,22,2
74,810,59,"2018-09-15 21:36:01",37,2,26
75,811,60,"2018-09-15 21:36:01",2,22,1
76,803,61,"2018-09-15 21:36:01",11,21,17
77,813,61,"2018-09-15 21:36:01",6,7,42
78,814,62,"2018-09-15 21:36:01",27,10,43
79,815,63,"2018-09-15 21:36:01",33,31,4
80,817,64,"2018-09-15 21:36:01",40,46,27
81,818,65,"2018-09-15 21:36:01",0,35,28
82,825,66,"2018-09-15 21:36:01",33,2,32
83,788,66,"2018-09-15 21:36:01",38,30,20
84,795,67,"2018-09-15 21:36:01",17,31,22
85,802,68,"2018-09-15 21:36:01",6,44,27
86,796,68,"2018-09-15 21:36:01",0,17,43
87,803,69,"2018-09-15 21:36:01",45,25,37
88,819,70,"2018-09-15 21:36:01",21,16,10
