plm_m_oid,plm_oid,plm_m_id,plm_i_name,plm_i_createtime,plm_i_checkintime,plm_cailiao,plm_checkintime,plm_weight,plm_wllx,plm_wlly,plm_guige,plm_gylx
1,1,1,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",9.508008034151604,非标外购件,外协,NULL,NULL
2,2,2,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",62.066444747245775,专用零件,自制,NULL,NULL
3,3,3,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",95.14144038058659,机加件,外协,NULL,NULL
4,4,4,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",9.853803076592227,机加件,外协,NULL,NULL
5,5,5,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",72.13920997739396,国标件,外购,NULL,NULL
6,6,6,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",0.37186247592930766,专用零件,外购,NULL,NULL
7,7,7,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",92.98537644090659,非标外购件,自制,NULL,NULL
8,8,8,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",31.517174826920836,国标件,自制,NULL,NULL
9,9,9,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",2.674855841580026,专用部件,外购,NULL,NULL
10,10,10,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",33.28044807308811,产品配套,自制,NULL,NULL
11,11,11,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",57.376273957267834,专用零件,外购,NULL,NULL
12,12,12,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",68.63852592116956,机加件,外购,NULL,NULL
13,13,13,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",23.125290323197877,非标外购件,自制,NULL,NULL
14,14,14,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",67.3164320359914,机加件,外协,NULL,NULL
15,15,15,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",71.9623927718356,非标外购件,自制,NULL,NULL
16,16,16,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",39.17021820410774,国标件,外购,NULL,NULL
17,17,17,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",92.30571566649742,非标外购件,自制,NULL,NULL
18,18,18,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",22.77714258899639,专用部件,外购,NULL,NULL
19,19,19,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",66.94485694534988,国标件,外购,NULL,NULL
20,20,20,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",21.60718852640159,产品配套,自制,NULL,NULL
21,21,21,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",71.86617873841435,专用零件,自制,NULL,NULL
22,22,22,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",52.46773912251338,企标件,自制,NULL,NULL
23,23,23,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",17.321021037752672,专用部件,外协,NULL,NULL
24,24,24,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",51.78641497055203,产品配套,外协,NULL,NULL
25,25,25,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",72.88246236749542,非标外购件,外购,NULL,NULL
26,26,26,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",96.7012490462246,产品配套,外购,NULL,NULL
27,27,27,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",19.352662188339686,非标外购件,自制,NULL,NULL
28,28,28,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",97.30400264506463,产品配套,外购,NULL,NULL
29,29,29,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",51.708718012414636,非标外购件,外协,NULL,NULL
30,30,30,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",92.91899290757034,专用部件,自制,NULL,NULL
31,31,31,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",41.166724026388,机加件,自制,NULL,NULL
32,32,32,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",0.8316112780539342,专用零件,外购,NULL,NULL
33,33,33,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",37.03491629599219,非标外购件,外购,NULL,NULL
34,34,34,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",61.406395145892624,非标外购件,自制,NULL,NULL
35,35,35,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",68.32531847024093,机加件,外协,NULL,NULL
36,36,36,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",20.97365298693593,专用零件,外购,NULL,NULL
37,37,37,板,"2018-09-15 21:36:01","2018-09-15 21:36:01",板,"2018-09-15 21:36:01",48.404965433762634,企标件,自制,NULL,NULL
